Filename;image_width;image_height;make;model;orientation;x_resolution;y_resolution;resolution_unit;software;datetime;y_and_c_positioning;_exif_ifd_pointer;compression;jpeg_interchange_format;jpeg_interchange_format_length;exposure_time;f_number;exposure_program;photographic_sensitivity;exif_version;datetime_original;datetime_digitized;offset_time;offset_time_original;shutter_speed_value;aperture_value;brightness_value;exposure_bias_value;max_aperture_value;metering_mode;flash;focal_length;color_space;pixel_x_dimension;pixel_y_dimension;exposure_mode;white_balance;digital_zoom_ratio;focal_length_in_35mm_film;scene_capture_type;image_unique_id;Observations
araruama.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:08:33;1;226;6;802;62121;0.016666666666666666;2.0;2;80;None;2024:01:03 20:08:33;2024:01:03 20:08:33;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama1.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:08:21;1;226;6;802;46971;0.016666666666666666;2.0;2;100;None;2024:01:03 20:08:21;2024:01:03 20:08:21;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama2.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:08:08;1;226;6;802;53725;0.016666666666666666;2.0;2;100;None;2024:01:03 20:08:08;2024:01:03 20:08:08;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama3.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:07:57;1;226;6;802;48705;0.016666666666666666;2.0;2;100;None;2024:01:03 20:07:57;2024:01:03 20:07:57;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama4.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:07:38;1;226;6;802;50935;0.016666666666666666;2.0;2;160;None;2024:01:03 20:07:38;2024:01:03 20:07:38;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama5.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:07:23;1;226;6;802;45168;0.016666666666666666;2.0;2;100;None;2024:01:03 20:07:23;2024:01:03 20:07:23;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama6.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:06:59;1;238;718;6;946;40556;0.016666666666666666;2.0;100;None;2024:01:03 20:06:59;2024:01:03 20:06:59;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;182813;182813;182813;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
beto_e_piu.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:06:14;1;238;718;6;946;41201;0.016666666666666666;2.0;160;None;2024:01:03 20:06:14;2024:01:03 20:06:14;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;926713;926713;926713;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
maya.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:06:05;1;238;718;6;946;44072;0.016666666666666666;2.0;160;None;2024:01:03 20:06:05;2024:01:03 20:06:05;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;208894;208894;208894;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
maya1.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:05:29;1;238;718;6;946;46156;0.016666666666666666;2.0;125;None;2024:01:03 20:05:29;2024:01:03 20:05:29;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;082394;082394;082394;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
maya2.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:05:48;1;238;718;6;946;38811;0.016666666666666666;2.0;125;None;2024:01:03 20:05:48;2024:01:03 20:05:48;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;495358;495358;495358;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
