ImageWidth;ImageLength;ResolutionUnit;ExifOffset;Make;Model;Software;Orientation;DateTime;YCbCrPositioning;XResolution;YResolution
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 18:20:04;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 18:20:35;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 18:21:21;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 18:22:01;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 18:23:52;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2024:01:03 18:24:25;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:03:51;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:04:18;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:04:34;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:04:49;1;72.0;72.0
8000;6000;718;2;238;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:05:15;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:05:21;1;72.0;72.0
8000;6000;718;2;238;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:05:29;1;72.0;72.0
8000;6000;718;2;238;samsung;SM-A805F;A805FXXU7DWF5;1;2024:01:03 20:05:48;1;72.0;72.0
8000;6000;718;2;238;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:06:05;1;72.0;72.0
8000;6000;718;2;238;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:06:14;1;72.0;72.0
8000;6000;718;2;238;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:06:59;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2024:01:03 20:07:23;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:03 20:07:38;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2024:01:03 20:07:57;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2024:01:03 20:08:08;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2024:01:03 20:08:21;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2024:01:03 20:08:33;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2023:07:27 08:40:47;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2023:07:27 08:40:14;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2023:07:27 08:19:37;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXS7DWE4;1;2023:07:25 13:15:57;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2023:12:29 14:33:18;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;1;2023:12:29 14:33:39;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2024:01:01 14:56:21;1;72.0;72.0
8000;6000;798;2;238;samsung;SM-A805F;A805FXXU7DWF5;6;2023:08:06 20:24:52;1;72.0;72.0
8160;6120;2;226;samsung;SM-S901E;S901EXXS7CWK2;6;2023:12:22 21:33:39;1;72.0;72.0
8160;6120;2;226;samsung;SM-S901E;S901EXXS7CWK2;1;2023:12:23 00:24:27;1;72.0;72.0
8160;6120;2;226;samsung;SM-S901E;S901EXXS7CWK2;6;2023:12:23 00:24:39;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2023:12:29 14:34:20;1;72.0;72.0
8160;6120;2;226;samsung;SM-S901E;S901EXXS7CWK2;6;2023:12:22 21:32:24;1;72.0;72.0
8160;6120;2;226;samsung;SM-S901E;S901EXXS7CWK2;6;2023:12:23 00:24:49;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2023:08:13 18:50:42;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2023:10:26 15:44:23;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2023:12:30 22:35:56;1;72.0;72.0
8000;6000;6;2;237;samsung;SM-A805F;A805FXXU7DWF5;1;2023:08:13 12:22:20;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2023:12:24 21:49:49;1;72.0;72.0
8000;6000;2;226;samsung;SM-A805F;A805FXXU7DWF5;6;2023:12:24 21:49:20;1;72.0;72.0
